statement,cleaned_statement
oh my gosh,oh my gosh
"trouble sleeping, confused mind, restless heart. All out of tune",trouble sleeping confused mind restless heart all out of tune
"All wrong, back off dear, forward doubt. Stay in a restless and restless place",all wrong back off dear forward doubt stay in a restless and restless place
I've shifted my focus to something else but I'm still worried,ive shifted my focus to something else but im still worried
"I'm restless and restless, it's been a month now, boy. What do you mean?",im restless and restless its been a month now boy what do you mean
"every break, you must be nervous, like something is wrong, but what the heck",every break you must be nervous like something is wrong but what the heck
"I feel scared, anxious, what can I do? And may my family or us be protected :)",i feel scared anxious what can i do and may my family or us be protected
Have you ever felt nervous but didn't know why?,have you ever felt nervous but didnt know why
"I haven't slept well for 2 days, it's like I'm restless. why huh :([].",i havent slept well for days its like im restless why huh
"I'm really worried, I want to cry.",im really worried i want to cry
"always restless every night, even though I don't know why, what's wrong. strange.",always restless every night even though i dont know why whats wrong strange
"I'm confused, I'm not feeling good lately. Every time I want to sleep, I always feel restless",im confused im not feeling good lately every time i want to sleep i always feel restless
"sometimes what is needed when there is a problem is to laugh until you forget that there is a problem, when you remember it, you feel restless like that well, it turns out that I still have a sad burden blah blah blah",sometimes what is needed when there is a problem is to laugh until you forget that there is a problem when you remember it you feel restless like that well it turns out that i still have a sad burden blah blah blah
Because this worry is you.,because this worry is you
Sometimes it's your own thoughts that make you anxious and afraid to close your eyes until you don't sleep,sometimes its your own thoughts that make you anxious and afraid to close your eyes until you dont sleep
"Every time I wake up, I'm definitely nervous and excited, until when are you going to try ™‚",every time i wake up im definitely nervous and excited until when are you going to try
"I can only hope, even though I'm worried if it starts like this....",i can only hope even though im worried if it starts like this
"restive = restless, restless",restive restless restless
"""No regrets or grudges/angry at things that have passed, and not worrying too much about the future, that's true serenity.""",no regrets or grudgesangry at things that have passed and not worrying too much about the future thats true serenity
"If the guy is sick, the girl actually feels sick indirectly. He must be feeling restless and restless. :')",if the guy is sick the girl actually feels sick indirectly he must be feeling restless and restless
